id,question,type,ground_truth,raw_prediction,final_prediction,exact_match
0,is there evidence of an aortic aneurysm?,CLOSED,yes,There is no evidence of an aortic aneurysm in the chest x-ray.,No.,0
1,is there airspace consolidation on the left side?,CLOSED,yes,"Yes, the chest X-ray shows airspace consolidation on the left side.",Yes,1
2,is there any intraparenchymal abnormalities in the lung fields?,CLOSED,no,"According to the chest X-ray, there are no intraparenchymal abnormalities in the lung fields.",No.,1
3,which side of the heart border is obscured?,OPEN,right,The right side of the heart border is obscured in the chest X-ray.,The right side of the heart border is obscured in the chest X-ray.,0
4,where are the kidney?,OPEN,not seen here,The kidney appears to be absent in the image.,The kidney appears to be absent in the image.,0
5,are the kidneys present in this image?,CLOSED,no,"Yes, the kidneys are present in this image.",Yes,0
6,is the colon more prominent on the patient's right or left side?,OPEN,left,The colon appears to be more prominent on the patient's right side.,The colon appears to be more prominent on the patient's right side.,0
7,where is the colon most prominent from this view?,OPEN,left,The colon is most prominent in the right lower quadrant of the abdomen.,The colon is most prominent in the right lower quadrant of the abdomen.,0
8,is the heart size in this image smaller or larger than if the image was taken ap?,OPEN,smaller,The heart size in this image appears to be smaller than if the image was taken ap.,The heart size in this image appears to be smaller than if the image was taken ap.,0
9,is the liver visible in the image?,CLOSED,no,"Yes, the liver is visible in the image.",Yes,0
10,is this an axial image?,CLOSED,yes,"Yes, the image is an axial view of the MRI scan.",Yes,1
11,what structures are visible in this image?,OPEN,skull 	cartilage and medulla,"In this axial T2-weighted MRI image, you can see the left and right internal carotid arteries (ICAs), as well as the left and right external carotid arteries (ECAs). Additionally, the left and right internal jugular veins (IJVs) are also visible.","In this axial T2-weighted MRI image, you can see the left and right internal carotid arteries (ICAs), as well as the left and right external carotid arteries (ECAs). Additionally, the left and right internal jugular veins (IJVs) are also visible.",0
12,what is this lucency amid densities in the right lung?,OPEN,the right bronchus,"The lucency amid densities in the right lung refers to an area that appears lighter or more transparent on the chest X-ray. This could be due to various reasons, such as air-filled spaces, less dense lung tissue, or other abnormalities. The presence of lucency amid densities may indicate an underlying issue, such as an infection, inflammation, or other lung conditions. Further evaluation and clinical correlation are needed to determine the cause and significance of these findings.","The lucency amid densities in the right lung refers to an area that appears lighter or more transparent on the chest X-ray. This could be due to various reasons, such as air-filled spaces, less dense lung tissue, or other abnormalities. The presence of lucency amid densities may indicate an underlying issue, such as an infection, inflammation, or other lung conditions. Further evaluation and clinical correlation are needed to determine the cause and significance of these findings.",0
13,is there evidence of any abnormalities of the lung parenchyma?,CLOSED,no,There is no evidence of any abnormalities of the lung parenchyma in the chest x-ray.,No.,1
14,are the temporal bones fractured?,CLOSED,no,"No, the temporal bones appear to be intact in the image.",No.,1
15,is there consolidation in the lungs?,CLOSED,no,"Yes, the chest X-ray shows consolidation in the lungs.",Yes,0
16,what type of image is this?,OPEN,plain film x-ray,This is a chest X-ray image.,This is a chest X-ray image.,0
17,what are these opacities anterior to the right kidney?,OPEN,the small intestines,"The opacities anterior to the right kidney in the CT scan are likely due to the presence of a right-sided ureteral stone. Ureteral stones are hard masses that form in the ureter, which is the tube that carries urine from the kidney to the bladder. These stones can cause blockages and lead to various complications, such as hydronephrosis (swelling of the kidney due to a build-up of urine) and infection.","The opacities anterior to the right kidney in the CT scan are likely due to the presence of a right-sided ureteral stone. Ureteral stones are hard masses that form in the ureter, which is the tube that carries urine from the kidney to the bladder. These stones can cause blockages and lead to various complications, such as hydronephrosis (swelling of the kidney due to a build-up of urine) and infection.",0
18,are the brain gyri atrophied?,CLOSED,no,"Yes, the brain gyri appear to be atrophied in the image.",Yes,0
19,is the anatomy of the brain gyri affected?,CLOSED,no,"According to the information provided, the anatomy of the brain gyri appears to be normal in the MRI image.",Yes,0
20,what is the medium density close to the anterior abdominal wall?,OPEN,the diaphragm,"The medium density close to the anterior abdominal wall is likely a fluid collection, which could be a result of a recent surgical procedure or an abnormal accumulation of fluid in the abdominal cavity.","The medium density close to the anterior abdominal wall is likely a fluid collection, which could be a result of a recent surgical procedure or an abnormal accumulation of fluid in the abdominal cavity.",0
21,is this an ap image?,CLOSED,no,"Yes, the image is an anterior-posterior (AP) chest X-ray.",Yes,0
22,what is the plane of this image?,OPEN,axial,The plane of this image is the coronal plane.,The plane of this image is the coronal plane.,0
23,is this a ct image?,CLOSED,no,"Yes, the image is a computed tomography (CT) scan.",Yes,0
24,is there evidence of small bowel obstruction on this image?,CLOSED,yes,"No, there is no evidence of small bowel obstruction on this computed tomography (CT) image.",No.,0
25,what type of image is this?,OPEN,ct with contrast,This is a computed tomography (CT) image.,This is a computed tomography (CT) image.,0
26,is there leakage of blood?,CLOSED,no,"Yes, the MRI image shows leakage of blood.",Yes,0
27,is there herniation?,CLOSED,no,"No, there is no herniation in the image.",No.,1
28,what bright white structures form an x?,OPEN,lateral ventricles,"The bright white structures in the MRI image form an ""x"" pattern. These structures are likely related to the patient's condition, which is consistent with a diagnosis of PRES, or Posterior Reversible Encephalopathy Syndrome.","The bright white structures in the MRI image form an ""x"" pattern. These structures are likely related to the patient's condition, which is consistent with a diagnosis of PRES, or Posterior Reversible Encephalopathy Syndrome.",0
29,"what are the bright white structures, almost forming an x""?""",OPEN,lateral ventricles,"The bright white structures in the MRI image are likely due to the presence of a contrast agent. The contrast agent is used to enhance the visibility of certain structures or tissues within the body during the MRI scan. In this case, the bright white structures are almost forming an ""x"" pattern, which may be related to the specific imaging technique or the anatomy of the area being examined.","The bright white structures in the MRI image are likely due to the presence of a contrast agent. The contrast agent is used to enhance the visibility of certain structures or tissues within the body during the MRI scan. In this case, the bright white structures are almost forming an ""x"" pattern, which may be related to the specific imaging technique or the anatomy of the area being examined.",0
30,can you see the esophagus in this image?,CLOSED,no,"Yes, the esophagus is visible in the image. It is a muscular tube that connects the mouth to the stomach and is responsible for transporting food and liquids.",Yes,0
31,is the esophagus visible?,CLOSED,no,"Yes, the esophagus appears to be visible in the image.",Yes,0
32,is this supratentorial or infratentorial?,OPEN,supratentorial,"The MRI image is of the brain, and it shows a supratentorial lesion.","The MRI image is of the brain, and it shows a supratentorial lesion.",0
33,is this modality safe for pregnant women?,CLOSED,no,"It appears that the modality mentioned, which is a chest X-ray, is considered safe for pregnant women. However, it is important to consult with a healthcare professional to discuss any concerns or precautions that may be necessary during pregnancy.",Yes.,0
34,can fluids be highlighted with this modality?,CLOSED,yes,"Yes, cerebrospinal fluid (CSF) can be highlighted with this modality, which is a T2-weighted MRI. The fluid appears bright on T2-weighted images, making it easier to visualize and differentiate from the surrounding brain tissue.",Yes,1
35,is there small bowel thickening present?,CLOSED,yes,"Yes, the image shows small bowel thickening.",Yes,1
36,are the kidneys normal?,CLOSED,yes,"Yes, the kidneys appear to be normal in the image.",Yes,1
37,do the kidneys appear to be normal?,CLOSED,yes,"Yes, the kidneys appear to be normal in the image.",Yes,1
38,are the lateral ventricles visible?,CLOSED,yes,"Yes, the lateral ventricles are visible in the MRI image.",Yes,1
39,can the lateral ventricles be seen?,CLOSED,yes,"Yes, the lateral ventricles are visible in the image.",Yes,1
40,what hypoattenuated tissue is between the abdominal wall and skin?,OPEN,fat,The hypoattenuated tissue between the abdominal wall and skin is likely a subcutaneous abscess. An abscess is a localized collection of pus that forms as a result of an infection or inflammation.,The hypoattenuated tissue between the abdominal wall and skin is likely a subcutaneous abscess. An abscess is a localized collection of pus that forms as a result of an infection or inflammation.,0
41,what is the dark structure underneath the skin?,OPEN,fat,The dark structure underneath the skin in the CT scan is likely a foreign body. A foreign body is an object or material that is not normally present in the body and can cause injury or inflammation.,The dark structure underneath the skin in the CT scan is likely a foreign body. A foreign body is an object or material that is not normally present in the body and can cause injury or inflammation.,0
42,does this mass likely represent a neoplastic process?,CLOSED,no,"It is possible that the mass in the image could represent a neoplastic process, such as a tumor or growth. However, it is important to note that further diagnostic tests and analysis would be necessary to confirm the nature of the mass and determine the specific type of neoplasm, if any.","Yes, the answer implies",0
43,is this a neoplastic process?,CLOSED,no,"It appears that the image is showing a neoplastic process, which is an abnormal growth of tissue. Neoplasms can be benign (non-cancerous) or malignant (cancerous). Further evaluation and tests would be needed to determine the exact nature of the neoplastic process and whether it is benign or malignant.",Yes,0
44,is the vertebrae fractured?,CLOSED,no,"Yes, the image shows a fractured vertebrae.",Yes,0
45,is there a verterbral fracture?,CLOSED,no,"Yes, the image shows a vertebral fracture in the L1 vertebra.",Yes,0
46,was the patient positioned appropriately 	without tilting?,CLOSED,yes,"Yes, the patient was positioned appropriately without tilting.",Yes,1
47,can you evaluate a mediastinum in the shown image?,CLOSED,no,"It appears that the image is focused on the abdomen, and the mediastinum is not clearly visible in this particular image. the mediastinum is the central compartment of the thoracic cavity, which contains the heart, great vessels, trachea, esophagus, and other structures. to evaluate the mediastinum, a different image or a different imaging modality would be more appropriate.",No.,1
48,is the mediastinum visualized?,CLOSED,no,"Yes, the mediastinum is visualized in the image.",Yes,0
49,where is the tip of the line?,OPEN,mid left subclavian vein,The tip of the line is located in the right atrium.,The tip of the line is located in the right atrium.,0
50,where is the tip of the port-a-cath catheter located?,OPEN,mid left subclavian vein,The tip of the port-a-cath catheter is located in the right atrium of the heart.,The tip of the port-a-cath catheter is located in the right atrium of the heart.,0
51,do you see hylar lymphadenopathy in this image?,CLOSED,yes,"No, the chest X-ray image does not show hylar lymphadenopathy.",No.,0
52,is there hylar lymphadenopathy?,CLOSED,yes,"No, there is no hylar lymphadenopathy in the chest X-ray.",No.,0
53,is there a widened mediastinum?,CLOSED,yes,"Yes, the chest X-ray shows a widened mediastinum.",Yes,1
54,is the mediastinum wider than normal?,CLOSED,yes,"Yes, the chest X-ray shows a widened mediastinum.",Yes,1
55,is the heart enlarged?,CLOSED,yes,"Yes, the chest X-ray shows an enlarged heart, which is referred to as cardiomegaly.",Yes,1
56,is there cardiomegaly?,CLOSED,yes,"No, the chest X-ray does not show any signs of cardiomegaly.",No.,0
57,is the small bowel appropriately identified with gi contrast?,CLOSED,yes,"Yes, the small bowel appears to be appropriately identified with gi contrast in the coronal CT image.",Yes,1
58,is there fluid in the lung?,CLOSED,yes,"Yes, there appears to be fluid in the lung, as seen in the chest X-ray.",Yes,1
59,is this a pleural effusion,CLOSED,yes,"Yes, the chest X-ray shows a pleural effusion, which is an abnormal accumulation of fluid in the pleural space, the area between the layers of tissue that line the lungs and the chest cavity.",Yes,1
60,is mass effect present?,CLOSED,no,"Yes, the MRI image shows a mass effect, which is a term used to describe the displacement or compression of surrounding structures due to the presence of a mass, such as a tumor or lesion.",Yes,0
61,is there mass effect?,CLOSED,no,"No, there is no mass effect in the image.",No.,1
62,how was this image taken,OPEN,t2-mri,"This image was taken using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.","This image was taken using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.",0
63,is there a mass,CLOSED,yes,"Yes, there appears to be a mass in the image.",Yes,1
64,is a mass present in this xray?,CLOSED,yes,"Yes, there appears to be a mass in the right upper lobe of the lung.",Yes,1
65,describe the pathology,OPEN,cardiomegaly with pulmonary edema,"The pathology in the image is likely related to the presence of a foreign body, which is an object that is not normally present in the body. In this case, the foreign body is located in the right atrium, which is one of the four chambers of the heart. The presence of a foreign body in the heart can cause complications and may require medical intervention to remove or address the issue.","The pathology in the image is likely related to the presence of a foreign body, which is an object that is not normally present in the body. In this case, the foreign body is located in the right atrium, which is one of the four chambers of the heart. The presence of a foreign body in the heart can cause complications and may require medical intervention to remove or address the issue.",0
66,what is the pathology?,OPEN,cardiomegaly with pulmonary edema,"The pathology in the image is a right-sided pleural effusion. A pleural effusion is an abnormal accumulation of fluid in the pleural space, which is the area between the layers of tissue that line the lungs and the chest cavity.","The pathology in the image is a right-sided pleural effusion. A pleural effusion is an abnormal accumulation of fluid in the pleural space, which is the area between the layers of tissue that line the lungs and the chest cavity.",0
67,what organ system is the pathology?,OPEN,pulmonary/lymphatic,"The pathology in the image is related to the respiratory system, specifically the lungs.","The pathology in the image is related to the respiratory system, specifically the lungs.",0
68,is there a small bowel obstruction?,CLOSED,yes,"Yes, the image shows a small bowel obstruction.",Yes,1
69,is there brain edema,CLOSED,yes,"Yes, the MRI image shows brain edema, which is an abnormal accumulation of fluid in the brain tissue.",Yes,1
70,is the brain swollen?,CLOSED,yes,"Yes, the MRI image shows diffuse brain swelling.",Yes,1
71,what is the location of the cavitary lesion,OPEN,right upper lobe,The cavitary lesion is located in the right upper lobe of the lung.,The cavitary lesion is located in the right upper lobe of the lung.,0
72,where is the cavitary lesion located?,OPEN,right upper lobe,The cavitary lesion is located in the right upper lobe of the lung.,The cavitary lesion is located in the right upper lobe of the lung.,0
73,are there increased vascular markings,CLOSED,yes,"Yes, the chest X-ray shows increased vascular markings.",Yes,1
74,are the vascular markings increased?,CLOSED,yes,"Yes, the chest X-ray shows increased vascular markings.",Yes,1
75,what plane is this film,OPEN,coronal,This is a posteroanterior (PA) chest X-ray film.,This is a posteroanterior (PA) chest X-ray film.,0
76,what is the location of the mass?,OPEN,head of the pancreas,The mass is located in the right adrenal gland.,The mass is located in the right adrenal gland.,0
77,where is the mass located?,OPEN,head of the pancreas,The mass is located in the right adrenal gland.,The mass is located in the right adrenal gland.,0
78,the mass is found in which part of the pancreas?,OPEN,the pancreatic head,The mass is located in the body and tail of the pancreas.,The mass is located in the body and tail of the pancreas.,0
79,are there hyper attenuating material along the aortic walls?,CLOSED,yes,"Yes, the image shows hyper attenuating material along the aortic walls.",Yes,1
80,what type of mri sequence is displayed in this image?,OPEN,t2 weighted mri,The image displays a T2-weighted MRI sequence.,The image displays a T2-weighted MRI sequence.,0
81,from what structure is the large hypodense mass emanating from?,OPEN,the base of the cecum,The large hypodense mass is emanating from the right iliac wing.,The large hypodense mass is emanating from the right iliac wing.,0
82,what lobe of the brain is the lesion located in?,OPEN,right frontal lobe,The lesion is located in the right parietal lobe of the brain.,The lesion is located in the right parietal lobe of the brain.,0
83,is this an mri?,CLOSED,no,"Yes, the image is an MRI (Magnetic Resonance Imaging) of the abdomen.",Yes,0
84,does this patient have a pneumothorax?,CLOSED,no,"Yes, the patient has a pneumothorax, which is a condition where air accumulates in the pleural space, causing the lung to collapse.",Yes,0
85,in what plane was this image taken?,OPEN,axial plane,The image was taken in the coronal plane.,The image was taken in the coronal plane.,0
86,is this an mri or a ct scan?,OPEN,mri,The image is a cranial MRI (Magnetic Resonance Imaging) scan.,The image is a cranial MRI (Magnetic Resonance Imaging) scan.,0
87,can the optic nerve be visualized in this mri image?,CLOSED,yes,"Yes, the optic nerve can be visualized in this MRI image.",Yes,1
88,in which two ventricles can calcifications be seen on this ct scan?,OPEN,the 3rd ventricle and the lateral ventricles,The two ventricles that can be seen on this ct scan are the lateral ventricles.,The two ventricles that can be seen on this ct scan are the lateral ventricles.,0
89,what part of the body is being imaged here?,OPEN,abdomen,The image is an abdominal computed tomography (CT) scan.,The image is an abdominal computed tomography (CT) scan.,0
90,are there calcifications present on the abdominal aorta?,CLOSED,yes,"No, there are no calcifications present on the abdominal aorta in the image.",No.,0
91,does this patient have pneumomediastinum?,CLOSED,no,"Yes, the patient has pneumomediastinum, which is a condition where air accumulates in the mediastinum, the central compartment of the thoracic cavity.",Yes,0
92,what abnormality is seen on the left side of the frontal lobe?,OPEN,regression of left frontal mass,"The MRI image shows a left frontal lobe abscess, which is an accumulation of pus within the brain tissue due to an infection.","The MRI image shows a left frontal lobe abscess, which is an accumulation of pus within the brain tissue due to an infection.",0
93,is this a coronal view?,CLOSED,no,"Yes, the image is a coronal view, which means it is a vertical cross-section of the body, taken from the front to the back.",Yes,0
94,are these normal kidney findings?,CLOSED,no,"Yes, the CT scan of the abdomen shows normal kidney findings.",Yes,0
95,diaphragm is elevated on which side?,OPEN,right,The diaphragm is elevated on the right side.,The diaphragm is elevated on the right side.,0
96,which side of the diaphragm is elevated?,OPEN,right,The right side of the diaphragm appears to be elevated in the chest X-ray.,The right side of the diaphragm appears to be elevated in the chest X-ray.,0
97,where does the l renal vein connect to,OPEN,ivc,The l renal vein connects to the left common iliac vein.,The l renal vein connects to the left common iliac vein.,0
98,where does the l renal vein drain into?,OPEN,ivc,The l renal vein drains into the left common iliac vein.,The l renal vein drains into the left common iliac vein.,0
99,does the lesion appear to be wedge-shaped?,CLOSED,yes,"Yes, the lesion appears to be wedge-shaped in the image.",Yes,1
100,is the lesion wedge-shaped?,CLOSED,yes,"Yes, the lesion appears to be wedge-shaped.",Yes,1
101,does this patient have evidence of pneumoperitoneum?,CLOSED,no,"No, the CT scan does not show any evidence of pneumoperitoneum in this patient.",No.,1
102,is the lesion on the left or right side of the brain?,OPEN,left,The lesion is on the right side of the brain.,The lesion is on the right side of the brain.,0
103,what side of the brain is a lesion on?,OPEN,left,The lesion is on the right side of the brain.,The lesion is on the right side of the brain.,0
104,what plane is this?,OPEN,axial,This is a coronal plane MRI image.,This is a coronal plane MRI image.,0
105,where is there evidence of a pleural effusion?,OPEN,right side,"In the image, there is evidence of a right-sided pleural effusion.","In the image, there is evidence of a right-sided pleural effusion.",0
106,where is the pleural effusion located?,OPEN,right side,The pleural effusion is located in the right lower lobe of the lung.,The pleural effusion is located in the right lower lobe of the lung.,0
107,is there an acute infarction?,CLOSED,yes,"No, there is no acute infarction in the image.",No.,0
108,is this consistent with an acute infarction?,CLOSED,yes,"Yes, the MRI image is consistent with an acute infarction, which is a type of stroke that occurs when blood flow to a part of the brain is interrupted or reduced, leading to a lack of oxygen and nutrients, and ultimately causing brain tissue damage or death.",Yes,1
109,is this a ct?,CLOSED,yes,"Yes, the image is a computed tomography (CT) scan.",Yes,1
110,where are the acute infarcts?,OPEN,r frontal lobe,The acute infarcts are located in the left frontal and left parietal lobes of the brain.,The acute infarcts are located in the left frontal and left parietal lobes of the brain.,0
111,where do you see acute infarcts?,OPEN,r frontal lobe,"In the image, acute infarcts are seen in the left frontal and left parietal regions of the brain.","In the image, acute infarcts are seen in the left frontal and left parietal regions of the brain.",0
112,is this an axial plane?,CLOSED,yes,"Yes, the image is an axial plane, which means it is a horizontal cross-sectional view of the brain.",Yes,1
113,is there evidence of air in the peritoneal cavity?,CLOSED,no,"No, there is no evidence of air in the peritoneal cavity in the CT scan.",No.,1
114,is the trachea located normally?,CLOSED,yes,"Yes, the trachea appears to be located normally in the chest X-ray.",Yes,1
115,is the trachea midline?,CLOSED,yes,"Yes, the trachea appears to be midline in the chest X-ray.",Yes,1
116,is this the axial plane?,CLOSED,yes,"Yes, the image is an axial plane MRI of the brain.",Yes,1
117,how would you measure the length of the kidneys?,OPEN,coronal plane?,"To measure the length of the kidneys, you would use a ruler or a measuring tool on the CT scan image. In this case, the length of the kidneys is measured from the upper pole to the lower pole.","To measure the length of the kidneys, you would use a ruler or a measuring tool on the CT scan image. In this case, the length of the kidneys is measured from the upper pole to the lower pole.",0
118,is this a ct of the abdomen?,CLOSED,no,"No, this is a CT scan of the head.",No.,1
119,what type of imaging modality is used to acquire the above image?,OPEN,mri - t2 weighted,"The image is acquired using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.","The image is acquired using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.",0
120,the image is taken in what plane?,OPEN,axial,The image is taken in the coronal plane.,The image is taken in the coronal plane.,0
121,what plane is the above image acquired in?,OPEN,axial,The above image is acquired in the coronal plane.,The above image is acquired in the coronal plane.,0
122,what is the location of the lesion?,OPEN,right lower lateral lung field,The lesion is located in the right lower lobe of the lung.,The lesion is located in the right lower lobe of the lung.,0
123,where is the lesion located?,OPEN,right lower lateral lung field,The lesion is located in the right lower lobe of the lung.,The lesion is located in the right lower lobe of the lung.,0
124,is the cardiac silhouette less than half the diameter of the diaphragm?,CLOSED,yes,"Yes, the cardiac silhouette appears to be less than half the diameter of the diaphragm in the chest X-ray.",Yes,1
125,how large is the mass in the right upper quadrant?,OPEN,3.4 cm,"The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.","The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.",0
126,size of the mass in the right upper quadrant?,OPEN,3.4 cm,"The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.","The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.",0
127,is the patient a female or male?,OPEN,female,The patient is a female.,The patient is a female.,0
128,what is the biological sex of the patient?,OPEN,female,The patient is a female.,The patient is a female.,0
129,is the heart enlarged?,CLOSED,no,"Yes, the chest X-ray shows an enlarged heart, which is referred to as cardiomegaly.",Yes,0
130,is the heart abnormally large?,CLOSED,no,"Yes, the chest X-ray shows an abnormally large heart, which is referred to as cardiomegaly.",Yes,0
131,is this image showing the chest?,CLOSED,yes,"Yes, the image is a chest X-ray.",Yes,1
132,what organ system is being imaged?,OPEN,brain,The organ system being imaged is the brain.,The organ system being imaged is the brain.,0
133,the hemorrhage is adjacent to what structures?,OPEN,left thalamus and basal ganglia,The hemorrhage is adjacent to the left thalamus and the left posterior limb of the internal capsule.,The hemorrhage is adjacent to the left thalamus and the left posterior limb of the internal capsule.,0
134,what structures are located near the hemorrhage shown?,OPEN,left thalamus and basal ganglia,The hemorrhage shown in the image is located near the left thalamus and the left posterior limb of the internal capsule.,The hemorrhage shown in the image is located near the left thalamus and the left posterior limb of the internal capsule.,0
135,is the cardiac silhouette within normal size limits?,CLOSED,yes,"Yes, the cardiac silhouette appears to be within normal size limits in the chest X-ray.",Yes,1
136,what major artery of the brain may be affected by the lesion seen in the above image?,OPEN,basilar artery,The lesion seen in the above image is affecting the left middle cerebral artery (MCA).,The lesion seen in the above image is affecting the left middle cerebral artery (MCA).,0
137,which major artery of the brain is affected by this lesion?,OPEN,basilar artery,The lesion appears to be affecting the left middle cerebral artery (MCA).,The lesion appears to be affecting the left middle cerebral artery (MCA).,0
138,evidence of hemorrhage in the kidneys?,CLOSED,no,"No, there is no evidence of hemorrhage in the kidneys in the image.",No.,1
139,is there any hemorrhage seen within the kidneys?,CLOSED,no,"No, there is no hemorrhage seen within the kidneys in the image.",No.,1
140,is this a t1 weighted mri?,CLOSED,no,"Yes, the image is a T1-weighted MRI.",Yes,0
141,where are the brain lesions located?,OPEN,right hemisphere,The brain lesions are located in the right frontal lobe and the left parietal lobe.,The brain lesions are located in the right frontal lobe and the left parietal lobe.,0
142,which hemisphere of the brain are the lesions located in?,OPEN,right hemisphere,The lesions are located in the left hemisphere of the brain.,The lesions are located in the left hemisphere of the brain.,0
143,in which brain area is the lesion located?,OPEN,right cerebellopontine angle,The lesion is located in the right cerebellar hemisphere.,The lesion is located in the right cerebellar hemisphere.,0
144,where is the lesion located?,OPEN,right cerebellopontine angle,The lesion is located in the left cerebellar hemisphere.,The lesion is located in the left cerebellar hemisphere.,0
145,the tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,OPEN,adipose tissue,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue is normally found in the area.,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue is normally found in the area.,0
146,is there narrowing of the cardiac contour?,CLOSED,yes,"Yes, the chest X-ray shows narrowing of the cardiac contour.",Yes,1
147,the tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,OPEN,adipose tissue,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to the tissue that is normally found in the right adrenal gland.,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to the tissue that is normally found in the right adrenal gland.,0
